"Seat","Primary Votes","ALP","LIB","NXT/SA BEST","GRN","OTHER","3CP","ALP","LIB","NXT/SA BEST","2PP","Party 1","Votes","Party 2","Votes","Assumed Winner"
"MOUNT GAMBIER","","19.3824139807","40.7487681703","22.7027041003","3.89849139832","13.2676223504","","24.9168059829","45.7339607058","29.3492333113","","ALP","41.57739481","LIB","58.42260519","IND HOLD ASSUMED"
"NARUNGGA","","17.7920990227","45.7665224095","22.1393255886","1.97231037981","12.3297425994","","21.748356237","50.1902420002","28.0614017627","","LIB","56.1249212203","NXT/SA BEST","43.8503018573","LIB"
"NEWLAND","","28.4983581321","34.4219192989","20.9026142094","4.96974822239","11.2073601372","","34.5335386441","38.495568571","26.9708927849","","ALP","50.1019955899","LIB","50.3073782467","LIB"
"PLAYFORD","","43.0503566609","24.3843752897","15.7246957084","4.55205507604","12.2885172649","","49.9411222565","28.5187493938","21.5401283497","","ALP","62.9024540637","LIB","37.0975459363","ALP"
"PORT ADELAIDE","","42.8592745361","22.6249789229","18.5741632389","6.99965808799","8.94192521416","","50.8588802709","25.3125217235","23.8285980056","","ALP","66.5210160193","LIB","33.9591223212","ALP"
"RAMSAY","","48.5265900456","15.759649944","16.3085706251","3.51789781599","15.8872915693","","56.7157048935","20.062043543","23.2222515634","","ALP","63.1423407251","NXT/SA BEST","36.3109528594","ALP"
"REYNELL","","41.6013445991","20.7371461772","18.3192038993","6.3130266586","13.0292786659","","50.5207819196","24.6666601423","24.8125579382","","ALP","67.0056690084","LIB","33.4907510211","ALP"
"SCHUBERT","","18.3631306494","45.2643340931","19.9140682377","4.90038995179","11.5580770679","","23.8130592094","49.8277851286","26.359155662","","ALP","37.728631758","LIB","62.7912779218","LIB"
"STUART","","21.1261545672","42.1344682322","22.4300049028","2.74313277323","11.5662395246","","25.4731159297","45.9686380041","28.5582460663","","ALP","41.8501559401","LIB","58.6645049488","LIB"
"TAYLOR","","41.9497586351","21.474886956","15.602347153","3.27969370007","17.6933135559","","50.0866096365","26.5414384843","23.3719518792","","ALP","64.3035305879","LIB","36.160340183","ALP"
"TORRENS","","31.6607618471","33.9406603187","19.6163087596","5.95015044471","8.83211862991","","37.7967401554","37.4713678964","24.7318919482","","ALP","52.6924602309","LIB","47.7025815166","ALP"
"UNLEY","","19.9158090181","50.3226000899","14.9354425912","9.81134556357","5.01480273724","","27.7693173442","52.8097714452","19.4209112106","","ALP","39.4766372378","LIB","60.9313172343","LIB"
"WAITE","","18.4638535059","46.3077049307","19.0718796124","9.8710147396","6.28554721141","","25.7513242833","49.2494847141","24.9991910025","","ALP","40.9251021627","LIB","59.5627278531","LIB"
"WEST TORRENS","","36.2642940365","31.8373140422","17.0021181149","8.06580149103","6.83047231529","","43.9235588685","34.4284716421","21.6479694894","","ALP","57.4696781762","LIB","42.9136936989","ALP"
"WRIGHT","","34.0627410887","30.4264817261","18.9087446256","4.79563034846","11.806402211","","40.6719693399","34.484861579","24.8431690811","","ALP","55.2852777967","LIB","44.7147222033","ALP"
"0","","0","0","0","0","0","","0","0","0","","0","0","0","0"
"0","","0","0","0","0","0","","0","0","0","","0","0","0","0"
"seats","ALP","20","LIB","21","NXT/SA BEST","2","IND/OTHER","4"
