"Seat","Primary Votes","ALP","LIB","NXT/SA BEST","GRN","OTHER","3CP","ALP","LIB","NXT/SA BEST","2PP","Party 1","Votes","Party 2","Votes"
"NARUNGGA","","22.4782602339","41.2771472412","26.8650275385","2.78493746521","6.59462752128","","25.1604762822","43.8234643811","31.0160593367","","LIB","50.2734280278","NXT/SA BEST","49.6916012963"
"NEWLAND","","33.0447128581","29.9425222575","24.4633002669","6.76808980146","5.78137481592","","38.5152172656","32.3877878793","29.0969948551","","ALP","55.3191762911","LIB","44.6808237089"
"PLAYFORD","","50.1453824709","20.2764574775","17.5923493011","5.92606460666","6.05974614393","","55.7954382803","22.6101203697","21.59444135","","ALP","69.0751040047","LIB","30.9248959953"
"PORT ADELAIDE","","47.4284863817","18.6207299028","20.567377404","9.01911179776","4.36429451375","","54.9743163073","20.1801861782","24.8454975145","","ALP","60.4563903713","NXT/SA BEST","39.5436096287"
"RAMSAY","","55.37374514","13.3627674164","18.6048804377","4.66994203103","7.98866497487","","61.3999146625","15.5580954528","23.0419898847","","ALP","66.8634470179","NXT/SA BEST","33.1365529821"
"REYNELL","","47.0237735434","17.4391803601","20.7273995296","8.31176259013","6.4978839767","","54.8218382905","19.604332437","25.5738292725","","ALP","60.3364069622","NXT/SA BEST","39.6635930378"
"SCHUBERT","","23.2760742286","39.3351136603","24.2443416487","6.94221931609","6.20225114637","","28.1000437548","42.3081759187","29.5917803265","","LIB","50.5846135817","NXT/SA BEST","49.409331567"
"STUART","","26.5743115511","36.3105298869","27.0993162324","3.85649770954","6.15934462004","","29.8804990141","38.4213203978","31.698180588","","LIB","46.3395350332","NXT/SA BEST","53.6067345912"
"TAYLOR","","49.2560870206","18.7578625144","18.3359552632","4.48501783131","9.16507737047","","55.0482755726","21.5264613972","23.4252630302","","ALP","61.4604773177","NXT/SA BEST","38.5104475999"
"TORRENS","","36.1127216558","28.9556122187","22.5159821194","7.94728591341","4.46839809278","","42.0584962298","31.1826580375","26.7588457327","","ALP","58.1864997712","LIB","41.8135002288"
"UNLEY","","24.3275280923","42.1615703409","17.5228814063","13.3947089544","2.59331120614","","33.8217673199","44.0501310387","22.1281016414","","ALP","47.145142624","LIB","52.854857376"
"WAITE","","22.4543969135","38.6156354653","22.2771660056","13.4166944517","3.23610716394","","30.9335974028","40.6147522652","28.451650332","","ALP","48.1969716191","LIB","51.8030283809"
"WEST TORRENS","","40.5203685736","26.525400833","19.0585433762","10.5208660138","3.37482120338","","48.5724743626","28.1864544054","23.241071232","","ALP","63.0990368123","LIB","36.9009631877"
"0","","0","0","0","0","0","","0","0","0","","0","0","0","0"
"0","","0","0","0","0","0","","0","0","0","","0","0","0","0"
"seats","ALP","28","LIB","11","NXT/SA BEST","8"
