,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
BRAGG,Kensington,247,39,147,61,570,83,413,74,266,146,97,23,133,75,33,11,31,7,3,1,3,48,35,6,7,3,58,8,4,0,4,21,5,8,8,15,4,6,5,14,1
BRAGG,Kensington Gardens,145,30,68,47,572,61,444,67,208,106,85,17,63,35,15,8,12,3,2,1,0,23,19,2,2,2,56,10,2,4,4,16,4,7,5,21,7,6,8,9,1
BRAGG,Kensington Park,268,54,139,75,808,102,600,106,281,135,124,22,126,69,32,7,30,7,4,3,0,50,33,9,8,0,75,18,5,6,7,25,8,7,10,19,7,8,4,13,2
BRAGG,Linden Park,219,55,116,48,749,79,570,100,235,90,125,20,84,34,15,5,14,13,8,3,2,33,20,6,7,4,68,8,3,2,3,23,4,9,10,24,7,12,5,13,0
BRAGG,Norwood (Sturt),106,10,57,39,225,53,138,34,100,58,33,9,52,28,14,4,10,6,5,1,0,16,12,3,1,2,46,13,3,3,7,16,3,5,8,7,2,1,4,10,0
BRAGG,Stonyfell,184,45,91,48,931,101,733,97,270,122,126,22,90,50,24,11,15,16,6,7,3,22,11,5,6,2,70,14,4,3,7,25,2,11,12,19,4,6,9,12,0
BRAGG,Tusmore,189,40,93,56,730,83,558,89,231,105,107,19,79,38,19,6,13,9,6,2,1,31,21,4,6,1,89,11,5,2,4,36,8,21,7,24,9,7,8,18,0
CHAFFEY,Barmera,238,37,162,39,581,51,448,82,554,225,243,86,34,9,4,3,2,4,1,1,2,15,8,5,2,6,188,30,15,4,11,39,9,16,14,72,19,24,29,47,2
CHAFFEY,Berri,432,60,280,92,667,62,499,106,577,247,226,104,58,22,14,4,4,5,3,0,2,21,12,4,5,10,311,47,10,11,26,75,13,29,33,98,27,24,47,91,3
CHAFFEY,Blanchetown,41,5,29,7,73,8,54,11,60,25,31,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,33,4,1,1,2,7,0,3,4,11,5,3,3,11,0
CHAFFEY,Cadell,20,4,12,4,70,4,54,12,52,28,17,7,2,0,0,0,0,0,0,0,0,2,2,0,0,0,19,0,0,0,0,3,0,1,2,12,2,4,6,4,0
CHAFFEY,Cobdogla,51,8,34,9,139,8,110,21,105,47,42,16,7,5,4,1,0,1,0,1,0,0,0,0,0,1,53,10,5,1,4,8,1,3,4,22,5,8,9,13,0
CHAFFEY,Glossop,72,12,43,17,164,25,117,22,141,68,55,18,8,2,1,0,1,1,1,0,0,3,2,1,0,2,77,4,3,1,0,20,5,10,5,28,8,6,14,25,2
CHAFFEY,Loxton,300,39,189,72,1014,92,765,157,648,228,318,102,51,11,6,2,3,11,3,6,2,23,9,7,7,6,347,50,16,8,26,95,14,50,31,85,22,21,42,117,3
CHAFFEY,Loxton North,70,19,43,8,260,26,200,34,240,94,106,40,15,4,0,1,3,1,1,0,0,9,6,2,1,1,92,9,1,4,4,25,3,13,9,42,8,19,15,16,0
CHAFFEY,Lyrup,23,4,15,4,86,6,42,38,57,17,23,17,1,0,0,0,0,0,0,0,0,1,1,0,0,0,27,1,1,0,0,10,3,3,4,8,1,3,4,8,0
CHAFFEY,Monash,75,10,56,9,218,17,166,35,201,70,88,43,17,7,4,0,3,1,0,0,1,8,4,2,2,1,98,15,3,4,8,24,2,12,10,35,10,10,15,24,0
CHAFFEY,Moorook,32,4,25,3,105,6,83,16,74,28,34,12,4,2,2,0,0,1,0,1,0,1,0,0,1,0,39,4,1,1,2,11,2,5,4,19,7,2,10,5,0
CHAFFEY,Morgan,59,6,41,12,97,6,74,17,101,56,29,16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,40,6,2,4,0,11,1,5,5,19,4,5,10,4,0
