"Seat","Primary Votes","ALP","LIB","NXT/SA BEST","GRN","OTHER","3CP","ALP","LIB","NXT/SA BEST","2PP","Party 1","Votes","Party 2","Votes"
"MOUNT GAMBIER","","18.25199384","32.2696788275","37.6105671542","3.87507510705","7.99268507128","","22.1203832358","35.4443796871","42.4352370771","","LIB","41.952006597","NXT/SA BEST","58.0338615385"
"NARUNGGA","","16.9128772382","36.5860845153","37.0241027244","1.97900397139","7.4979315507","","19.4429686542","39.3538642234","41.2031671224","","LIB","44.3934180617","NXT/SA BEST","55.5817314318"
"NEWLAND","","25.7650364595","27.5022747845","34.9370535277","4.98392281249","6.81171241586","","30.4121101934","30.1576671264","39.4302226802","","ALP","37.4346529306","NXT/SA BEST","62.5653470694"
"PLAYFORD","","41.439656308","19.7391630685","26.628793298","4.62517313969","7.56721418575","","46.8072420478","22.3578346591","30.8349232931","","ALP","54.647068771","NXT/SA BEST","45.352931229"
"PORT ADELAIDE","","38.8283122579","17.9579768023","30.8411537439","6.97347800179","5.39907919404","","45.4311337269","19.6612850454","34.9075812278","","ALP","50.7648018802","NXT/SA BEST","49.2351981198"
"RAMSAY","","45.509476836","12.9373644298","28.0070443616","3.624815042","9.92129933055","","51.571530168","15.4893535126","32.9391163194","","ALP","57.0207769271","NXT/SA BEST","42.9792230729"
"REYNELL","","38.1680958279","16.6747965161","30.8155757046","6.37165955439","7.96987239701","","45.2512683842","19.0975446569","35.6511869589","","ALP","50.6649704213","NXT/SA BEST","49.3350295787"
"SCHUBERT","","17.9116343995","35.6580302428","34.172624026","5.04545373866","7.21225759309","","22.1075368622","38.7151288218","39.177334316","","LIB","45.2724215005","NXT/SA BEST","54.7205376451"
"STUART","","20.1419904558","32.420850774","37.621936571","2.76064051651","7.05458168271","","23.1723783724","34.7173045292","42.1103170984","","LIB","40.8764206711","NXT/SA BEST","59.0851169044"
"TAYLOR","","40.0379455735","17.9616687291","27.2996995932","3.44312244401","11.2575636601","","45.9536454989","21.1128866076","32.9334678935","","ALP","52.3023458968","NXT/SA BEST","47.6753333294"
"TORRENS","","28.7241910096","27.1313743877","32.8035564505","5.97011695911","5.37076119308","","33.7292850962","29.5202818947","36.7504330091","","ALP","41.9596453391","NXT/SA BEST","58.0403546609"
"UNLEY","","19.8333526928","40.491735127","26.16652943","10.3135422014","3.19484054871","","27.4705833039","42.359843338","30.1695733581","","LIB","50.0834470978","NXT/SA BEST","49.9165529022"
"WAITE","","17.7772589615","36.0145544803","32.3047061685","10.0319497783","3.87153061137","","24.4724570894","38.0592859865","37.4682569241","","LIB","44.5682445612","NXT/SA BEST","55.4317554388"
"WEST TORRENS","","33.2918941889","25.6731129152","28.6811970916","8.16381255684","4.18998324753","","40.0408039154","27.4689522524","32.4902438322","","ALP","47.0627361582","NXT/SA BEST","52.9372638418"
"0","","0","0","0","0","0","","0","0","0","","0","0","0","0"
"0","","0","0","0","0","0","","0","0","0","","0","0","0","0"
"seats","ALP","9","LIB","5","NXT/SA BEST","33"
